"Date","Heure","Ordre(s) du jour"
"2025-03-28","15:00","Suite de la discussion de la proposition de loi, adoptée par le Sénat, visant à sortir la France du piège du narcotrafic      Suite de la discussion de la proposition de loi organique, adoptée par le Sénat, fixant le statut du procureur de la République national anti-criminalité organisée"
"2025-03-31","16:00","Discussion de la proposition de loi portant fin du maintien à vie dans le logement social       Discussion de la proposition de résolution (art. 34-1 de la Constitution) pour une stratégie nationale de prévention sur le chemsex       Discussion de la proposition de loi contre les fraudes aux moyens de paiement scripturaux      Suite de la discussion de la proposition de loi sur la profession d'infirmier      Suite de la discussion de la proposition de loi visant à simplifier l'ouverture des débits de boisson en zone rurale"
"2025-04-01","21:30","Suite de la discussion de la proposition de loi portant fin du maintien à vie dans le logement social       Suite de la discussion de la proposition de résolution, au titre de l'article 34-1 de la Constitution, visant a&#768; mettre fin a&#768; la culpabilisation des victimes de violences physiques et sexuelles      Suite de la discussion de la proposition de résolution (art. 34-1 de la Constitution) pour une stratégie nationale de prévention sur le chemsex       Suite de la discussion de la proposition de loi visant à modifier la définition pénale du viol et des agressions sexuelles      Suite de la discussion de la proposition de loi contre les fraudes aux moyens de paiement scripturaux      Suite de la discussion de la proposition de résolution, au titre de l'article 34-1 de la Constitution, tendant à créer un Institut Océan de l’université des Nations unies en France      Suite de la discussion de la proposition de loi visant à simplifier l'ouverture des débits de boisson en zone rurale      Suite de la discussion de la proposition de loi visant à renforcer le contrôle du Parlement en période d’expédition des affaires courantes      Suite de la discussion de la proposition de loi sur la profession d'infirmier      Suite de la discussion de la proposition de loi visant à lutter contre les déserts médicaux      Suite de la discussion de la proposition de loi visant à assurer le développement raisonné et juste de l’agrivoltaïsme"
"2025-04-01","09:00","Questions orales sans débat "
"2025-04-02","21:30","Suite de la discussion de la proposition de résolution, au titre de l'article 34-1 de la Constitution, visant à mettre fin à la culpabilisation des victimes de violences physiques et sexuelles      Suite de la discussion de la proposition de loi visant à modifier la définition pénale du viol et des agressions sexuelles      Suite de la discussion de la proposition de résolution, au titre de l'article 34-1 de la Constitution, tendant à créer un Institut Océan de l’université des Nations unies en France      Suite de la discussion de la proposition de loi visant à renforcer le contrôle du Parlement en période d’expédition des affaires courantes      Suite de la discussion de la proposition de loi visant à lutter contre les déserts médicaux      Suite de la discussion de la proposition de loi visant à assurer le développement raisonné et juste de l’agrivoltaïsme"
"2025-04-07","21:30","Suite de la discussion, en 2e lecture, de la proposition de loi, modifiée par le Sénat, visant à harmoniser le mode de scrutin aux élections municipales afin de garantir la vitalité démocratique, la cohésion municipale et la parité      Suite de la discussion de la proposition de loi organique, adoptée par le Sénat, après engagement de la procédure accélérée, visant à harmoniser le mode de scrutin aux élections municipales afin de garantir la vitalité démocratique, la cohésion municipale et la parité      Suite de la discussion, sous réserve de sa transmission, de la proposition de loi, adoptée par le Sénat, visant à convertir des centrales à charbon vers des combustibles moins émetteurs en dioxyde de carbone pour permettre une transition écologique plus juste socialement (dite « Saint-Avold »)      Suite de la discussion de la proposition de loi visant à réformer le mode d'élection des membres du Conseil de Paris et des conseils municipaux de Lyon et Marseille "
"2025-04-09","14:00","Questions au Gouvernement      Suite de la discussion du projet de loi, adopté par le Sénat, après engagement de la procédure accélérée, de simplification de la vie économique      Vote par scrutin public       Suite de la discussion de la proposition de loi visant à réformer le mode d'élection des membres du Conseil de Paris et des conseils municipaux de Lyon et Marseille (« PLM »)      Suite de la discussion du projet de loi, adopté par le Sénat, de simplification de la vie économique"
"2025-04-03","15:00","Suite de la discussion de la proposition de loi visant à valoriser la réserve communale de sécurité civile      Suite de la discussion de la proposition de loi visant à faire exécuter les peines d’emprisonnement ferme       Suite de la discussion de la proposition de loi pour réformer l’accueil des gens du voyage       Suite de la discussion de la proposition de loi visant à restaurer l’autorité de l’État       Suite de la discussion de la proposition de loi visant à renforcer la démographie professionnelle des orthophonistes "
"2025-04-29","21:30","Débat sur le thème : \"Rendre plus efficace le dispositif d’allocation des travailleurs indépendants\""
"2025-04-10","09:00","Discussion de la proposition de loi, adoptée par le Sénat, relative à la réforme de l’audiovisuel public et à la souveraineté audiovisuelle"
"2025-04-28","21:30","Débat sur le thème : \"Comment construire une véritable défense européenne ?\""
"2025-04-30","21:30","Débat sur le thème : \"Impact de la généralisation des démarches administratives en ligne sur les usagers, notamment les populations vulnérables et en situation d’illectronisme\""
"2025-04-10","21:30","Suite de la discussion de la proposition de loi, adoptée par le Sénat, relative à la réforme de l’audiovisuel public et à la souveraineté audiovisuelle"
"2025-03-27","09:00","Questions sur le thème : \"Transparence, efficacité et impact de l’aide publique au développement\"      Débat sur le thème : \"Conditions de travail et de détention dans les prisons françaises\" (salle Lamartine)"
"2025-03-27","21:30","Suite de la discussion de la proposition de loi, adoptée par le Sénat, visant à sortir la France du piège du narcotrafic      Suite de la discussion de la proposition de loi organique, adoptée par le Sénat, fixant le statut du procureur de la République national anti-criminalité organisée"
"2025-04-11","15:00","Suite de la discussion de la proposition de loi, adoptée par le Sénat, relative à la réforme de l’audiovisuel public et à la souveraineté audiovisuelle"
"2025-04-10","15:00","Suite de la discussion du projet de loi, adopté par le Sénat, après engagement de la procédure accélérée, autorisant l’approbation de la résolution n° 259 portant modification de l’article 1er de l’accord portant création de la Banque européenne pour la reconstruction et le développement afin de permettre l’élargissement limité et progressif du champ d’action géographique de la Banque à l’Afrique subsaharienne et à l’Irak      Suite de la discussion, sous réserve de son dépôt, projet de loi autorisant l’approbation de l’accord-cadre entre le Gouvernement de la République française et les Nations unies portant sur les arrangements relatifs aux privilèges et immunités ainsi que d’autres questions afférentes aux réunions des Nations unies tenues sur le territoire français      Suite de la discussion du projet de loi, adopté par le Sénat, autorisant la ratification de la résolution LP.3(4) portant amendement de l’article 6 du Protocole de Londres de 1996 à la Convention de 1972 sur la prévention de la pollution des mers résultant de l’immersion de déchets et autres matières      Suite de la discussion du projet de loi, adopté par le Sénat, de simplification de la vie économique      Suite de la discussion de la proposition de loi, adoptée par le Sénat, relative à la réforme de l’audiovisuel public et à la souveraineté audiovisuelle"
"2025-03-28","15:00","Suite de la discussion de la proposition de loi, adoptée par le Sénat, visant à sortir la France du piège du narcotrafic      Suite de la discussion de la proposition de loi organique, adoptée par le Sénat, fixant le statut du procureur de la République national anti-criminalité organisée"
"2025-04-11","09:00","Suite de la discussion du projet de loi, adopté par le Sénat, après engagement de la procédure accélérée, autorisant l’approbation de la résolution n° 259 portant modification de l’article 1er de l’accord portant création de la Banque européenne pour la reconstruction et le développement afin de permettre l’élargissement limité et progressif du champ d’action géographique de la Banque à l’Afrique subsaharienne et à l’Irak      Suite de la discussion, sous réserve de son dépôt, projet de loi autorisant l’approbation de l’accord-cadre entre le Gouvernement de la République française et les Nations unies portant sur les arrangements relatifs aux privilèges et immunités ainsi que d’autres questions afférentes aux réunions des Nations unies tenues sur le territoire français      Suite de la discussion du projet de loi, adopté par le Sénat, autorisant la ratification de la résolution LP.3(4) portant amendement de l’article 6 du Protocole de Londres de 1996 à la Convention de 1972 sur la prévention de la pollution des mers résultant de l’immersion de déchets et autres matières      Suite de la discussion du projet de loi, adopté par le Sénat, de simplification de la vie économique      Suite de la discussion de la proposition de loi, adoptée par le Sénat, relative à la réforme de l’audiovisuel public et à la souveraineté audiovisuelle"
"2025-04-11","21:30","Suite de la discussion du projet de loi, adopté par le Sénat, après engagement de la procédure accélérée, autorisant l’approbation de la résolution n° 259 portant modification de l’article 1er de l’accord portant création de la Banque européenne pour la reconstruction et le développement afin de permettre l’élargissement limité et progressif du champ d’action géographique de la Banque à l’Afrique subsaharienne et à l’Irak      Suite de la discussion, sous réserve de son dépôt, projet de loi autorisant l’approbation de l’accord-cadre entre le Gouvernement de la République française et les Nations unies portant sur les arrangements relatifs aux privilèges et immunités ainsi que d’autres questions afférentes aux réunions des Nations unies tenues sur le territoire français      Suite de la discussion du projet de loi, adopté par le Sénat, autorisant la ratification de la résolution LP.3(4) portant amendement de l’article 6 du Protocole de Londres de 1996 à la Convention de 1972 sur la prévention de la pollution des mers résultant de l’immersion de déchets et autres matières      Suite de la discussion du projet de loi, adopté par le Sénat, de simplification de la vie économique      Suite de la discussion de la proposition de loi, adoptée par le Sénat, relative à la réforme de l’audiovisuel public et à la souveraineté audiovisuelle"
"2025-03-28","09:00","Éventuellement, suite de la discussion de la proposition de loi, adoptée par le Sénat, visant à sortir la France du piège du narcotrafic      Éventuellement, suite de la discussion de la proposition de loi organique, adoptée par le Sénat, fixant le statut du procureur de la République national anti-criminalité organisée"
"2025-03-28","21:30","Suite de la discussion de la proposition de loi, adoptée par le Sénat, visant à sortir la France du piège du narcotrafic      Suite de la discussion de la proposition de loi organique, adoptée par le Sénat, fixant le statut du procureur de la République national anti-criminalité organisée"
"2025-04-01","15:00","Questions au Gouvernement      Vote solennel sur la proposition de loi, adoptée par le Sénat, après engagement de la procédure accélérée, visant à sortir la France du piège du narcotrafic      Vote solennel sur la proposition de loi organique, adoptée par le Sénat, après engagement de la procédure accélérée, fixant le statut du procureur de la République national anti-criminalité organisée      Suite de la discussion de la proposition de loi portant fin du maintien à vie dans le logement social       Discussion de la proposition de résolution, au titre de l'article 34-1 de la Constitution, visant à mettre fin à la culpabilisation des victimes de violences physiques et sexuelles      Suite de la discussion de la proposition de résolution (art. 34-1 de la Constitution) pour une stratégie nationale de prévention sur le chemsex       Discussion de la proposition de loi visant à modifier la définition pénale du viol et des agressions sexuelles      Suite de la discussion de la proposition de loi contre les fraudes aux moyens de paiement scripturaux      Discussion de la proposition de résolution, au titre de l'article 34-1 de la Constitution, tendant à créer un Institut Océan de l’université des Nations unies en France      Suite de la discussion de la proposition de loi visant à simplifier l'ouverture des débits de boisson en zone rurale      Discussion de la proposition de loi visant à renforcer le contrôle du Parlement en période d’expédition des affaires courantes      Suite de la discussion de la proposition de loi sur la profession d'infirmier      Discussion de la proposition de loi visant à lutter contre les déserts médicaux      Discussion de la proposition de loi visant à assurer le développement raisonné et juste de l’agrivoltaïsme"
"2025-03-31","21:30","Suite de la discussion de la proposition de loi portant fin du maintien à vie dans le logement social       Suite de la discussion de la proposition de résolution (art. 34-1 de la Constitution) pour une stratégie nationale de prévention sur le chemsex       Suite de la discussion de la proposition de loi contre les fraudes aux moyens de paiement scripturaux      Suite de la discussion de la proposition de loi visant à simplifier l'ouverture des débits de boisson en zone rurale      Suite de la discussion de la proposition de loi sur la profession d'infirmier"
"2025-04-02","14:00","Questions au Gouvernement      Éventuellement, discussion sur le rapport de la commission mixte paritaire, du projet de loi portant diverses dispositions d’adaptation au droit de l’Union européenne en matière économique, financière, environnementale, énergétique, de transport, de santé et de circulation des personnes (dit « DADDUE »)      Suite de la discussion de la proposition de résolution, au titre de l'article 34-1 de la Constitution, visant à mettre fin à la culpabilisation des victimes de violences physiques et sexuelles      Suite de la discussion de la proposition de loi visant à modifier la définition pénale du viol et des agressions sexuelles      Suite de la discussion de la proposition de résolution, au titre de l'article 34-1 de la Constitution, tendant à créer un Institut Océan de l’université des Nations unies en France      Suite de la discussion de la proposition de loi visant à renforcer le contrôle du Parlement en période d’expédition des affaires courantes      Suite de la discussion de la proposition de loi visant à lutter contre les déserts médicaux      Suite de la discussion de la proposition de loi visant à assurer le développement raisonné et juste de l’agrivoltaïsme"
"2025-04-07","15:00","Discussion, en 2e lecture, de la proposition de loi, modifiée par le Sénat, visant à harmoniser le mode de scrutin aux élections municipales afin de garantir la vitalité démocratique, la cohésion municipale et la parité      Discussion de la proposition de loi organique, adoptée par le Sénat, après engagement de la procédure accélérée, visant à harmoniser le mode de scrutin aux élections municipales afin de garantir la vitalité démocratique, la cohésion municipale et la parité      Sous réserve de sa transmission, discussion de la proposition de loi, adoptée par le Sénat, visant à convertir des centrales à charbon vers des combustibles moins émetteurs en dioxyde de carbone pour permettre une transition écologique plus juste socialement (dite « Saint-Avold »)      Discussion de la proposition de loi visant à réformer le mode d'élection des membres du Conseil de Paris et des conseils municipaux de Lyon et Marseille "
"2025-04-08","21:30","Suite de la discussion de la proposition de loi visant à réformer le mode d'élection des membres du Conseil de Paris et des conseils municipaux de Lyon et Marseille (« PLM »)      Discussion du projet de loi, adopté par le Sénat, après engagement de la procédure accélérée, de simplification de la vie économique"
"2025-04-03","09:00","Discussion de la proposition de loi visant à valoriser la réserve communale de sécurité civile      Discussion de la proposition de loi visant à faire exécuter les peines d’emprisonnement ferme       Discussion de la proposition de loi pour réformer l’accueil des gens du voyage       Discussion de la proposition de loi visant à restaurer l’autorité de l’État       Discussion de la proposition de loi visant à renforcer la démographie professionnelle des orthophonistes "
"2025-04-08","15:00","Questions au Gouvernement      Vote par scrutin public en 2ème lecture de la proposition de loi, modifiée par le Sénat, visant à harmoniser le mode de scrutin aux élections municipales afin de garantir la vitalité démocratique, la cohésion municipale et la parité      Suite de la discussion, en 2e lecture, de la proposition de loi, modifiée par le Sénat, visant à harmoniser le mode de scrutin aux élections municipales afin de garantir la vitalité démocratique, la cohésion municipale et la parité      Discussion du projet de loi, adopté par le Sénat, de simplification de la vie économique      Vote par scrutin public de la proposition de loi organique, adoptée par le Sénat, après engagement de la procédure accélérée, visant à harmoniser le mode de scrutin aux élections municipales afin de garantir la vitalité démocratique, la cohésion municipale et la parité      Suite de la discussion de la proposition de loi organique, adoptée par le Sénat, après engagement de la procédure accélérée, visant à harmoniser le mode de scrutin aux élections municipales afin de garantir la vitalité démocratique, la cohésion municipale et la parité      Suite de la discussion, sous réserve de sa transmission, de la proposition de loi visant à convertir des centrales à charbon vers des combustibles moins émetteurs en dioxyde de carbone pour permettre une transition écologique plus juste socialement (dite « Saint-Avold »)      Suite de la discussion de la proposition de loi visant à réformer le mode d'élection des membres du Conseil de Paris et des conseils municipaux de Lyon et Marseille "
"2025-04-09","21:30","Suite de la discussion de la proposition de loi visant à réformer le mode d'élection des membres du Conseil de Paris et des conseils municipaux de Lyon et Marseille (« PLM »)      Suite de la discussion du projet de loi, adopté par le Sénat, de simplification de la vie économique"
"2025-04-03","21:30","Suite de la discussion de la proposition de loi visant à valoriser la réserve communale de sécurité civile      Suite de la discussion de la proposition de loi visant à faire exécuter les peines d’emprisonnement ferme       Suite de la discussion de la proposition de loi pour réformer l’accueil des gens du voyage       Suite de la discussion de la proposition de loi visant à restaurer l’autorité de l’État       Suite de la discussion de la proposition de loi visant à renforcer la démographie professionnelle des orthophonistes "
"2025-04-28","15:00","Débat sur le thème : \"La politique énergétique française\"      Débat sur le thème : \"Souveraineté énergétique et avenir du mix énergétique français\""
"2025-04-30","14:00","Questions au Gouvernement      Débat sur le thème : \"L’avenir institutionnel de la Nouvelle-Calédonie \"      Débat sur le thème : \"Politiques d'adaptation au changement climatique\" (salle Lamartine)"
"2025-04-10","15:00","Suite de la discussion de la proposition de loi, adoptée par le Sénat, relative à la réforme de l’audiovisuel public et à la souveraineté audiovisuelle"
