Debat,idContribution,Type,Contribution,Cree,idCommentaire,Pour,Contre,Reponse,idAuteur,Age,Inscription
Initiatives citoyennes,59db7c979e1c7be85124ddbd,Commentaire,"Il pourrait être créée une plateforme officielle et protégée de l'Assemblée Nationale qui permettrait à chaque personne ayant le droit de vote (identification avec le n° de la carte électorale par exemple) , de proposer des idées, faire des propositions de loi. Sur les propositions ayant reçu par exemple  1 millions de votes, l'Assemblée Nationale serait obligée de débattre le texte.",09/10/2017 13:41:43,59db7c979e1c7be85124ddbd,225,36,15,59db7b719e1c7be85124ddb5,18-29,Formulaire
Initiatives citoyennes,59db7dcd9e1c7be85124ddd3,Reponse,500.000 semble un bon compromis ,09/10/2017 13:46:53,59db7c979e1c7be85124ddbd,0,0,0,59db7cf19e1c7be85124ddc5,30-49,FaceBook
Initiatives citoyennes,59db976e9e1c7be85124def6,Reponse,"Et pourquoi forcément des électeurs ? La jeunesse est également force de proposition !  ;-) 
L'idée semble bonne mais à revoir sur certains points : 1 million est beaucoup et l'obligation de débat semble un peu forte. De plus, quand débattre des propositions citoyennes ? Rappelons que le calendrier parlementaire est déjà bien rempli, il faut trouver une solution à ce niveau à mon sens.",09/10/2017 15:36:14,59db7c979e1c7be85124ddbd,0,0,0,59db79549e1c7be85124dd99,moins de 18,Formulaire
Initiatives citoyennes,59dba1b89e1c7be85124df59,Reponse,"Un million de signataires me semble énorme et peut-être difficile à atteindre. Je penche plutôt pour une proposition médiane avec celle de idauteur:59db7cf19e1c7be85124ddc5, ou disons plus proche de la sienne, 300 000. 
",09/10/2017 16:20:08,59db7c979e1c7be85124ddbd,0,0,0,59db9e619e1c7be85124df3b,,FaceBook
Initiatives citoyennes,59dc6cee9e1c7be85124e1d0,Reponse,"Je suis d'accord. Le droit de vote est une chose. Le droit d'avoir des idées en est une autre. On a vu beaucoup d'exemples dans lesquels des enfants ont eu des idées (scientifiques ou autres). De toute façon en dernier lieu, c'est l'assemblée qui valide et qui vote. Je pense qu'il n'est pas nécessaire de réserver ce ""droit"" aux électeurs. Mais sinon l'idée est intéressante.",10/10/2017 06:47:10,59db7c979e1c7be85124ddbd,0,0,0,59dc6a959e1c7be85124e1bc,30-49,Formulaire
Initiatives citoyennes,59dc7f4f9e1c7be85124e228,Reponse,"Tout à fait @François, d'autant plus que si l'on arrive à donner le goût de la chose publique aux jeunes, le passage au numérique allant déjà en ce sens, ce sera également quelque chose de réussi. 
Et je pencherai pour ma part pour 750.000 votants : 1million étant beaucoup et 500.000 assez faible. Il faut que le palier soit accessible mais demeure quelque chose qui doive être mérité et ne pas devoir examiner des dizaines et des dizaines de propositions constamment.",10/10/2017 08:05:35,59db7c979e1c7be85124ddbd,0,0,0,59db79549e1c7be85124dd99,moins de 18,Formulaire
Initiatives citoyennes,59dc801c9e1c7be85124e239,Reponse,"Oui effectivement je pense qu'il faut fixer un plafond relativement important, tout en mettant tout en oeuvre pour inciter un maximum de citoyens à participer (en n'oubliant pas la fracture numérique par exemple - voir la typologie concernée). J'imagine en cela des agents ""itinérants"" chargés entre autres de collecter les propositions des citoyens n'ayant pas ou ayant peu accès aux outils numériques de participation. ",10/10/2017 08:09:00,59db7c979e1c7be85124ddbd,0,0,0,59dc6a959e1c7be85124e1bc,30-49,Formulaire
Initiatives citoyennes,59e27ffb66914e1e822385bc,Reponse,"Il est vrai qu'il faut que l'assemblée ne peut pas étudier toutes les propositions citoyennes néanmoins 750 000 me semble un palier un peu haut en prenant en compte le fait que malgré tous les efforts pouvant être déployés, trop peu de citoyens iront réellement voter ces propositions",14/10/2017 21:22:03,59db7c979e1c7be85124ddbd,0,0,0,59e27eb166914e1e822385b7,18-29,Formulaire
Initiatives citoyennes,59e2b30366914e1e8223861e,Reponse,"Je suis entièrement d'accord avec vous, mais je pense qu'il failler fixer le palier légitime pour le dépot de proposition de loi en comparaison avec la légitimité d'un parlementaire qui a ce pouvoir de dépot: regarder dans le détail combien il faut au minimum de voix pour élire un député dans la législature actuelle. Surtout, il faut mettre un place un système qui s'assure que les propositions ne soient pas juste déposées (ce qui est actuellement souvent le cas à l'AN) mais effectivement examinées et délibérées. ",15/10/2017 00:59:47,59db7c979e1c7be85124ddbd,0,0,0,59e2abc766914e1e82238613,18-29,Formulaire
Initiatives citoyennes,59f76e67e8a9656c1a8e76b4,Reponse,"Pour éviter de s'immerger l'assemblée, un seuil haut (750 000 à 1 000 000 ) me semble preferable",30/10/2017 18:24:39,59db7c979e1c7be85124ddbd,0,0,0,59f76b94e8a9656c1a8e769d,65 ou plus,Formulaire
