Pseudo;Contribution;Sujet;Consultation
Yannounet;"Bonsoir

Il faudrait:

Mettre fin a l'attribution d'une carte de transports à tarif réduit pour les conjoints des députés, rien ne justifie ce privilège d'un autre temps.

Mutualiser les achats informatiques et arrêter la distribution d'un crédit informatique tout le monde sait que ce crédit sert à payer des ipad et iPhone aux conjoints aux enfants ou aux amants et maîtresses des députés. L'achat groupé en début de mandature permettra de faire de grosses économies.

Revoir les salaires des fonctionnaires de l'assemblée notamment Les tres hauts salaires qui dépassent dix mille euros par mois. Rien ne justifie qu'un salarié gagne plus que'le président de l'assemblée ou le président de la république.
Baisser'le nombre de fonctionnaires et les salaires qui sont trop élevés. Beaucoup trop sont payés pour ne rien faire.... 

Interdire l'achat de matériel informatique moins d'un an avant la fin du mandat.

Réduire le train de vie du président de l'assemblée dont la table est une des meilleures de Paris ...

Mettre fin au transport en première classe pour les distances inférieures à deux heures de train.

Une transparence totale de l'irfm avec la ventilation des dépenses pour chaque depute

Interdire la prise en charge des frais du genre pharmacie pâtisserie esthéticienne costumes... si un depute veut passer de tels frais alors il faut qu'ils passent aux frais' réels. Si on pouvait éviter les costumes Arnys payés par l'irfm.. ou les injections de botox ....

Il faut contrôler le travail des députés et interdire la magouille consistant à émarger en début de séance puis filer vaquer à ses occupations. Dans une entreprise si on est absent on est pas payé. Le législateur doit montrer l'exemple...
";"Statut des députés ";"Le statut des députés et leurs moyens de travail "
Yannounet;"Il faut publier annuellement la liste de tous les salaires versés à l'assemblée nationale pour tous les fonctionnaires avec en face le poste occupé.

Il faut diffuser intégralement au public le rapport édité chaque année par la commission chargée d'apurer les comptes et qui reste secret et jamais publié.

L'assemblée fonctionnant avec un budget qui est attribué grâce aux impôts des français il est logique que la transparence la plus complète soit faite.";"Transparence sur les salaires ";"Le statut des députés et leurs moyens de travail "
Politique32;"Les citoyens étant tous égaux devant la loi, je pense qu'il faut supprimer l'immunité parlementaire des députés et des sénateurs. En effet, je pense que celui qui respecte la loi n'a pas besoin d'en avoir peur et de «s'en protéger».
De plus, je pense qu'il serait bon de réduire les indemnités accordées aux députés et aux sénateurs et de publier systématiquement ces dernières sur le site de l'Assemblée Nationale, de même que les autres avantages en nature ou sous forme d'argent dont ils pourraient bénéficier, et qui seraient de nature à encourager des prises illégales d'intérêts.";"Statut des parlementaires";"Le statut des députés et leurs moyens de travail "
omnazli;"La participation a la vie politique du citoyen élu peut supposer certains avantages afin qu'il puisse se rendre disponible mais rien qui se prolonge au delà du mandat. Un parlementaire porte provisoirement la voix de ses electeurs. Pas à vie. ";"cityen comme un.autre";"Le statut des députés et leurs moyens de travail "
Flo96;"Mettre en place le 49.3 rérédum  seulement si la loi bloquer par 1 % de la population est bien passer par referudum à la suite du blocage d'une loi et si cette est bien prposer aux peuple le risque de looping  n'est pas si important contrairement a se que disait m.Derugy sur le sujet, on peut aussi donner la possibilité  a l'assemblée de proposé  un référendum  sans avoir le soutien d'un pourcentage de citoyen ( ce serait une desision a vote majoritaire)en conservant bien  sur la loi qui permet a l'assemblée de provoqué un référendum  eb étant qu'un cinquième de l'assemblée avec le soutien de citoyen
 Et que le statu de député soit considéré comme employés de la nation  et que leurs absence soit sanctionné plus durement ";"Democratie ";"Le statut des députés et leurs moyens de travail "
"Méchant Réac";"L'indépendance financière du parlementaire est essentielle pour le bon fonctionnement d'une démocratie. Celui-ci doit pouvoir assurer ses fonctions en toute indépendance, notamment matérielle.

Nous distinguerons l'indemnité parlementaire sous différents axes afin d'aboutir à nos propositions :

1)	Une rémunération et des avantages dans les « normes »
2)	Des avantages sociaux et une protection sociale classiques d'un salarié du privé d'une grande entreprise française
3)	Des moyens matériels au niveau d'un salarié du privé dans le tertiaire
4)	Des moyens mis à disposition des députés qui ne dépassent pas le régime courant d'un cadre de direction dans une entreprise privée 
5)	Des avantages exorbitants et contestables
6)	Des indemnités complémentaires excessives et critiquables

1) Une rémunération et des avantages dans les « normes »

L'indemnité au 1er février 2017 comprend trois éléments : l'indemnité parlementaire de base, l'indemnité de résidence et l'indemnité de fonction.
Soit net mensuel, 4 962,54 EUR pour les députés élus pour la première fois avant juin 2012 ou 5 362,92 EUR pour les députés élus pour la première fois en juin 2012 ou après.

Sur le plan fiscal, l'indemnité parlementaire de base majorée de l'indemnité de résidence et de l'indemnité de fonction, est imposée suivant les règles applicables aux traitements et salaires.

Ces indemnités se justifient car elles offrent à tout citoyen la nécessaire autonomie financière du parlementaire, lui permettant de se consacrer, en toute indépendance, aux fonctions dont il est investi. Le mode de calcul est transparent, le principe retenant l'alignement de l'indemnité parlementaire sur la rémunération des hauts fonctionnaires (ordonnance portant loi organique n° 58-1210 du 13 décembre 1958).

On remarquera tout de même à ce niveau que le calcul est réalisé sur le revenu d'un haut fonctionnaire exerçant à temps plein. Dès lors, le député doit se consacrer entièrement et uniquement à son mandat, ce qui exclut, par construction, le cumul des mandats.

2) Des avantages sociaux et une protection sociale classiques d'un salarié du privé d'une grande entreprise française

Les députés peuvent percevoir des prestations familiales ; celles-ci sont équivalentes à celles du régime général des salariés.

Un dispositif spécifique d'assurance chômage à l'instar de ce qui existe pour les salariés du secteur privé, les députés ne relevant pas, en effet, du régime des Assedic. L'allocation est financée uniquement par les cotisations versées chaque mois par les députés en exercice (27,91 EUR) dans un fonds, le Fonds d'assurance mutuelle, différentielle et dégressive de retour à l'emploi des députés.

Deux restaurants et une buvette sont à la disposition des députés. Sous certaines conditions, ils peuvent y recevoir des invités. Les";"L'indemnité parlementaire (Points 1 et 2)";"Le statut des députés et leurs moyens de travail "
"Méchant Réac";"3) Des moyens matériels au niveau d'un salarié du privé dans le tertiaire

Les parlementaires bénéficient, par ailleurs, de certains appuis matériels destinés à faciliter l'exercice de leur mandat :
o	Un bureau individuel dans l'enceinte du Palais Bourbon ou ses dépendances.
o	Un droit à la formation, un accès à internet, à la messagerie électronique et à un certain nombre de bases de données juridiques et économiques.
o	Un forfait annuel d'abonnement tél.
o	Un forfait d'affranchissement annuel.

4) Des moyens mis à disposition des députés qui ne dépassent pas le régime courant d'un cadre de direction dans une entreprise privée 

A côté de cette rémunération, pour les déplacements sur l'ensemble du territoire national par voie ferroviaire, l'Assemblée nationale prend en charge les déplacements des députés sur le réseau métropolitain de la SNCF en 1ère classe. 

S'agissant des déplacements à Paris et dans la région parisienne, l'Assemblée dispose d'un parc Les frais afférents aux déplacements en taxis effectués par les députés dans Paris ou à destination des aéroports parisiens et directement nécessités par l'exercice de leur mandat parlementaire sont remboursés dans la limite d'un plafond annuel, sur présentation des justificatifs de dépenses.

Enfin, sur demande du député, l'Assemblée nationale fournit une carte nominative lui donnant l'accès gratuit au réseau de transport parisien de la RATP.

Les députés d'outre-mer ou représentant les Français établis à hors de France bénéficient de la prise en charge de leurs billets d'avions sur les lignes nationales. 

5) Des avantages exorbitants et contestables

a)	L'Assemblée nationale prend en charge chaque année pour les députés métropolitains 80 passages entre Paris et la circonscription lorsqu'elle est desservie par une ligne aérienne régulière et 12 passages pour toute destination hors circonscription, en France métropolitaine. L'assemblée, nous l'avons vu, prend en charge les trajets en train. Cette disposition ne doit pas subsister.

b)	Les députés sont d'office inscrits à un régime spécial de la Sécurité Sociale. Le régime général doit s'appliquer pour les parlementaires avec un dispositif de complémentaire (dit « mutuelle ») de droit privé à la charge du député.

c)	A retraite des députés doit être calculée suivant le régime général des retraites avec faculté d'adhérer à un contrat complémentaire retraite de droit privé.";"L'indemnité parlementaire (Points 3, 4 et 5)";"Le statut des députés et leurs moyens de travail "
"Méchant Réac";"3) Des moyens matériels au niveau d'un salarié du privé dans le tertiaire

Les parlementaires bénéficient, par ailleurs, de certains appuis matériels destinés à faciliter l'exercice de leur mandat :

o	Un bureau individuel dans l'enceinte du Palais Bourbon ou ses dépendances.
o	Un droit à la formation, un accès à internet, à la messagerie électronique et à un certain nombre de bases de données juridiques et économiques.
o	Un forfait annuel d'abonnement tél.
o	Un forfait d'affranchissement annuel.

4) Des moyens mis à disposition des députés qui ne dépassent pas le régime courant d'un cadre de direction dans une entreprise privée
 
A côté de cette rémunération, pour les déplacements sur l'ensemble du territoire national par voie ferroviaire, l'Assemblée nationale prend en charge les déplacements des députés sur le réseau métropolitain de la SNCF en 1ère classe. 

S'agissant des déplacements à Paris et dans la région parisienne, l'Assemblée dispose d'un parc Les frais afférents aux déplacements en taxis effectués par les députés dans Paris ou à destination des aéroports parisiens et directement nécessités par l'exercice de leur mandat parlementaire sont remboursés dans la limite d'un plafond annuel, sur présentation des justificatifs de dépenses.

Enfin, sur demande du député, l'Assemblée nationale fournit une carte nominative lui donnant l'accès gratuit au réseau de transport parisien de la RATP.

Les députés d'outre-mer ou représentant les Français établis à hors de France bénéficient de la prise en charge de leurs billets d'avions sur les lignes nationales. 

5) Des avantages exorbitants et contestables

a)	L'Assemblée nationale prend en charge chaque année pour les députés métropolitains 80 passages entre Paris et la circonscription lorsqu'elle est desservie par une ligne aérienne régulière et 12 passages pour toute destination hors circonscription, en France métropolitaine. L'assemblée, nous l'avons vu, prend en charge les trajets en train. Cette disposition ne doit pas subsister.

b)	Les députés sont d'office inscrits à un régime spécial de la Sécurité Sociale. Le régime général doit s'appliquer pour les parlementaires avec un dispositif de complémentaire (dit « mutuelle ») de droit privé à la charge du député.

c)	A retraite des députés doit être calculée suivant le régime général des retraites avec faculté d'adhérer à un contrat complémentaire retraite de droit privé.";"L'indemnité parlementaire (Points 3, 4 et 5)";"Le statut des députés et leurs moyens de travail "
"Méchant Réac";"6) Des indemnités complémentaires excessives et critiquables

a)	Les députés disposent en outre d'un crédit affecté à la rémunération de collaborateurs dont le montant mensuel au 1er février 2017 est de 9 618 EUR.
En cas de non-emploi de la totalité du crédit, la part disponible demeure acquise au budget de l'Assemblée nationale ou peut être cédée par le député à son groupe politique pour la rémunération d'employés de ce groupe.

Le principe de base est celui du député-employeur : le collaborateur est le salarié du député, non celui de l'Assemblée nationale et sont recrutés sur la base d'un contrat de travail de droit privé.

D'autre part, les collaborateurs salariés relèvent du régime général de sécurité sociale des travailleurs salariés pour les risques maladie, maternité, invalidité, décès, accident du travail et vieillesse, d'un régime de retraite complémentaire de salariés de droit privé et du régime d'assurance chômage. Ils bénéficient des actions de formation professionnelle prévues par le code du travail et diverses dépenses liées à des formations spécifiques délivrées aux collaborateurs .

Par ailleurs, divers avantages accessoires s'ajoutent au salaire de base : la prime de 13ème mois, l'allocation de frais de garde d'enfant âgé de moins de trois ans, la prime de prévoyance, la prime-repas ou titre-restaurant.

Ce crédit de rémunération est excessif et le « pénélopegate » appelle une révision en, profondeur de ce crédit. 

Nous préconisions :

-	L'obligation d'opter pour le régime de gestion « déléguée » par l'Assemblée ou une gestion directe de ce crédit. Le service de la gestion financière et sociale impute, sur les instructions de chaque député, les rémunérations des collaborateurs et effectue, pour le compte du député, les actes de gestion. 
-	La limitation à trois le nombre de collaborateurs par député.
-	La fixation par le règlement de l'Assemblée nationale de la rémunération du collaborateur à la moitié de l'indemnité parlementaire de base du député, soit au 1er février 2017 : 2.395EUR brut. Ce qui représente un budget par député de 7185 EUR/mois. Cette mesure, outre une clarification de la rémunération des collaborateurs représenterait une économie potentielle pour le budget annuel de l'Etat de plus de 16 Millions d'euros.
";"L'indemnité parlementaire (Point 6a)";"Le statut des députés et leurs moyens de travail "
"Méchant Réac";"6) Des indemnités complémentaires excessives et critiquables

b)	Pour faire face aux diverses dépenses liées à l'exercice de leur mandat les députés bénéficient d'une indemnité représentative de frais de mandat dont le montant est revalorisé comme les traitements de la fonction publique. Au 1er février 2017, le montant mensuel de cette indemnité est de 5 840 EUR brut (5 372,80 EUR net).

Selon l'article 32 bis de l'instruction générale du bureau de l'Assemblée nationale, cette indemnité, comme son nom l'indique, peut être utilisée pour le règlement des frais de représentation et de réception. 

Mais étrangement, l'article précise que l'indemnité permet aussi de prendre en charge : Les frais liés à la permanence et à l'hébergement du député ; Les frais de transport du député et de ses collaborateurs ; Les frais de communication ; Les frais de formation du député et de ses collaborateurs. 
Or, a minima, l'Assemblée nationale prend déjà à sa charge (f. supra) les frais de transport, les frais de communication et les frais de formations du député.

Concernant les collaborateurs, la protection sociale offerte et les différents éléments de rémunération prévus ci-dessus, couvrent l'essentiel de ces dépenses.

De plus, une simple attestation sur l'honneur du bon usage de cette indemnité déposée annuellement au bureau de l'Assemblée suffit.

Nous proposons une version de cet article de l'instruction (numéroté 37) qui limite l'usage de cette indemnité aux frais de représentation et de réception et son extension aux frais exceptionnels engagés par les collaborateurs du député suivant le régime es frais professionnels. Toutes dépenses doivent être justifiées sur présentation de factures. 
";"L'indemnité parlementaire (Point 6b)";"Le statut des députés et leurs moyens de travail "
