"Type de commission","Date","Heure","À l'initiative de","Ordre(s) du jour"
"GA","2025-04-10","12:45","France-Asie centrale",""
"CNPE","2025-03-27","14:00","Commission d’enquête visant à établir les freins à la réindustrialisation de la France","– audition, ouverte à la presse, en cours d’organisation."
"COMPER","2025-03-26","09:00","Commission des affaires sociales","examen de la proposition de loi visant à lutter contre les déserts médicaux, d’initiative transpartisane (n° 966) ;examen de la proposition de loi visant à renforcer la démographie professionnelle des orthophonistes (n° 666) (Mme Agnès Firmin Le Bodo, rapporteure)."
"CNPE","2025-03-27","09:00","Commission d’enquête visant à établir les freins à la réindustrialisation de la France","table ronde, ouverte à la presse, sur l’attractivité économique de la France :M. Olivier Marchal, président de Bain & Cie France ;M. David Cousquer, directeur de Trendeo ;M. Marc Lhermitte, associé au sein de EY Consulting."
"MISINFO","2025-04-29","17:30","Mission d'information Politiques d'accompagnement à la parentalité","audition, non ouverte à la presse, de Mme Sylviane Giampino, vice-présidente du Haut conseil de la famille, de l’enfance et de l’âge."
"GA","2025-04-09","11:00","France-Italie",""
"GA","2025-03-26","09:00","France-Brésil",""
"COMPER","2025-03-26","17:00","Commission des affaires sociales","table ronde sur les propositions de loi relative aux soins palliatifs et d’accompagnement (n° 1102) et relative à la fin de vie (n° 1100) :mouvement « Être-là » : M. Jacques Clarion de Beauval, président, et M. Matthieu Lantier, délégué général ;association « Jusqu’à la mort accompagner la vie » (Jalmalv) (sous réserve de confirmation) ;france Assos Santé (Sous réserve de confirmation) ;association pour la recherche sur la sclérose latérale amyotrophique (sous réserve de confirmation) ;collectif Handicaps : Mme Marie-Christine Tézenas, présidente du Groupe Polyhandicap France."
"CNPE","2025-03-26","17:00","Commission d'enquête concernant l’organisation des élections en France","table ronde, ouverte à la presse, réunissant les dirigeants des instituts de sondage implantés en France, produisant des études d’opinion sur des sujets liés au débat électoral : Ifop, Verian, BVA Xsight, Ipsos, CSA, Harris Interactive, OpinionWay, Viavoice, Odoxa, Elabe et Cluster 17."
"COMPER","2025-03-25","18:00","Commission des lois constitutionnelles, de la législation et de l'administration générale de la République","examen de la proposition de loi visant à renforcer le contrôle du Parlement en période d’expédition des affaires courantes (n° 960) (Mme Léa Balage El Mariky et M. Stéphane Mazars, rapporteurs)."
